"두뇌","頭腦"
"두다",""
"두다",""
"두드러지다",""
"두드리다",""
"두려움",""
"두려워하다",""
"두렵다",""
"두르다",""
"두리번거리다",""
"두부","豆腐"
"두세",""
"두어",""
"두통","頭痛"
"둘",""
"둘러보다",""
"둘러싸다",""
"둘러싸이다",""
"둘째",""
"둘째",""
"둥글다",""
"둥지",""
"뒤",""
"뒤늦다",""
"뒤따르다",""
"뒤지다","가방을 ~"
"뒤집다",""
"뒤쪽",""
"뒤편","-便"
"뒷골목",""
"뒷모습",""
"뒷문","-門"
"뒷산","-山"
"드디어",""
"드라마","drama"
"드러나다",""
"드리다","인사를 ~"
"드리다","도와 ~"
"드물다",""
"듣다","소리를 ~"
"들",""
"들다","따지고 ~"
"들다","여관에 ~"
"들다","꽃을 ~"
"들려오다",""
"들려주다",""
"들르다",""
"들리다","소리가 ~"
"들어가다",""
"들어서다",""
"들어오다",""
"들어주다",""
"들여놓다",""
"들여다보다",""
"들이다","들다'의 사동사"
"들이마시다","숨을 ~"
"들이켜다",""
"듯",""
"듯싶다",""
"듯이",""
"듯하다",""
"등","신체의 일부"
"등","等. 1~"
"등","等"
"등등","等等"
"등록","登錄"
"등록금","登錄金"
"등록증","登錄證"
"등록하다","登錄-"
"등산","登山"
"등산로","登山路"
"등장","登場"
"등장하다","登場-"
"디스크","disk"
"디자이너","designer"
"디자인","design"
"따님",""
"따다","떼다"
"따뜻하다",""
"따라가다",""
"따라다니다",""
"따라서",""
"따라오다",""
"따로",""
"따로따로",""
"따르다","뒤를 ~"
"따르다","물을 ~"
"따스하다",""
"딱","멎는 모양"
"딱","바라진 모양"
"딱딱하다","굳다"
"딴","~ 일"
